epoch,accuracy,loss,val_accuracy,val_loss
1,0.45141667127609253,1.2147623300552368,0.6710000038146973,0.8580008149147034
2,0.7002500295639038,0.7737603187561035,0.7570000290870667,0.6592102646827698
3,0.7555833458900452,0.6554030179977417,0.7900000214576721,0.5966473817825317
4,0.7823333144187927,0.5839301347732544,0.8040000200271606,0.5464463233947754
5,0.8033333420753479,0.5359471440315247,0.8105000257492065,0.5201871991157532
6,0.8175833225250244,0.49579057097435,0.8209999799728394,0.5047646760940552
7,0.8354166746139526,0.4583785831928253,0.8234999775886536,0.4902960956096649
8,0.8390833139419556,0.44061478972435,0.828000009059906,0.4796009659767151
9,0.8462499976158142,0.4183592200279236,0.8335000276565552,0.4691750705242157
10,0.8548333048820496,0.40362653136253357,0.8374999761581421,0.46335476636886597
11,0.8603333234786987,0.39289554953575134,0.8385000228881836,0.4589695334434509
12,0.8612499833106995,0.3843565583229065,0.8370000123977661,0.4592798054218292
13,0.859083354473114,0.3833544850349426,0.8389999866485596,0.45566362142562866
14,0.8672500252723694,0.37223371863365173,0.8395000100135803,0.4545297622680664
15,0.8679999709129333,0.3737372159957886,0.8399999737739563,0.4538370370864868
16,0.8676666617393494,0.37448540329933167,0.8395000100135803,0.45372501015663147
17,0.8691666722297668,0.36854612827301025,0.840499997138977,0.4533337950706482
18,0.8711666464805603,0.3680247366428375,0.8399999737739563,0.45331019163131714
