epoch,accuracy,loss,val_accuracy,val_loss
1,0.4779166579246521,1.1652700901031494,0.7544999718666077,0.7277542948722839
2,0.7701666951179504,0.6283628940582275,0.8029999732971191,0.5598298907279968
3,0.8149999976158142,0.5121285915374756,0.8090000152587891,0.5141260623931885
4,0.8343333601951599,0.4553334414958954,0.8169999718666077,0.48316553235054016
5,0.856166660785675,0.40371930599212646,0.8309999704360962,0.47341468930244446
6,0.8679166436195374,0.3781673312187195,0.8324999809265137,0.4652452766895294
7,0.8799166679382324,0.34080055356025696,0.840499997138977,0.45714470744132996
8,0.8877500295639038,0.317048043012619,0.8445000052452087,0.45403775572776794
9,0.8945833444595337,0.2999435365200043,0.8424999713897705,0.4533630311489105
10,0.8995833396911621,0.28704044222831726,0.843999981880188,0.4507475793361664
11,0.906499981880188,0.27104976773262024,0.8445000052452087,0.45090848207473755
12,0.9084166884422302,0.2612322270870209,0.843999981880188,0.45096009969711304
13,0.9100833535194397,0.25502267479896545,0.8420000076293945,0.4522818624973297
14,0.9140833616256714,0.24869321286678314,0.843500018119812,0.45337361097335815
15,0.9135000109672546,0.24967165291309357,0.843500018119812,0.4538037180900574
