epoch,accuracy,loss,val_accuracy,val_loss
1,0.42091667652130127,1.2420437335968018,0.6140000224113464,0.985649049282074
2,0.6154999732971191,0.9390764832496643,0.7214999794960022,0.7584460973739624
3,0.6970000267028809,0.7871706485748291,0.765999972820282,0.6589652299880981
4,0.7435833215713501,0.6915909647941589,0.7904999852180481,0.6037502884864807
5,0.7642499804496765,0.6392439007759094,0.8059999942779541,0.5618549585342407
6,0.7785833477973938,0.5999369025230408,0.8140000104904175,0.5425181984901428
7,0.7917500138282776,0.5678185224533081,0.8274999856948853,0.5219924449920654
8,0.8006666898727417,0.5476598739624023,0.824999988079071,0.514089822769165
9,0.8106666803359985,0.5317841172218323,0.8264999985694885,0.503121018409729
10,0.8147500157356262,0.5156635642051697,0.8264999985694885,0.49745967984199524
11,0.8172500133514404,0.5118950605392456,0.8314999938011169,0.49440982937812805
12,0.8153333067893982,0.5061267614364624,0.8309999704360962,0.488951176404953
13,0.8203333616256714,0.4940864145755768,0.8305000066757202,0.4863024055957794
14,0.8207499980926514,0.4993892312049866,0.8305000066757202,0.48626062273979187
15,0.8234166502952576,0.49413394927978516,0.8295000195503235,0.4857155978679657
16,0.8240000009536743,0.4940343499183655,0.8309999704360962,0.48538240790367126
17,0.8212500214576721,0.4953526258468628,0.8314999938011169,0.48553645610809326
