epoch,accuracy,loss,val_accuracy,val_loss
1,0.4935833215713501,1.1565306186676025,0.7404999732971191,0.700534462928772
2,0.7760000228881836,0.5987295508384705,0.8059999942779541,0.5384516716003418
3,0.8247500061988831,0.4916113018989563,0.8215000033378601,0.49600496888160706
4,0.8415833115577698,0.4397314190864563,0.8259999752044678,0.4817735552787781
5,0.8560000061988831,0.39805537462234497,0.8360000252723694,0.46196433901786804
6,0.8693333268165588,0.3624124228954315,0.8339999914169312,0.4585058093070984
7,0.8812500238418579,0.33364763855934143,0.8410000205039978,0.4525424540042877
8,0.8889166712760925,0.31561145186424255,0.8395000100135803,0.4516764283180237
9,0.8949166536331177,0.2981894612312317,0.8355000019073486,0.45149940252304077
10,0.906416654586792,0.275530606508255,0.8389999866485596,0.4550996720790863
11,0.905916690826416,0.2726302146911621,0.8445000052452087,0.45541325211524963
12,0.9088333249092102,0.25904324650764465,0.843999981880188,0.4561551511287689
