epoch,accuracy,loss,val_accuracy,val_loss
1,0.4165000021457672,1.259020447731018,0.5665000081062317,0.9847943782806396
2,0.6106666922569275,0.9414830803871155,0.7080000042915344,0.7648515105247498
3,0.6962500214576721,0.7880095839500427,0.7565000057220459,0.6701856255531311
4,0.7398333549499512,0.6945657730102539,0.7850000262260437,0.6024364829063416
5,0.7678333520889282,0.635689914226532,0.7894999980926514,0.5718494653701782
6,0.7785000205039978,0.60097336769104,0.8075000047683716,0.5378646850585938
7,0.79666668176651,0.5675299167633057,0.8245000243186951,0.5166637897491455
8,0.8014166951179504,0.5519856214523315,0.8270000219345093,0.5026286840438843
9,0.8047500252723694,0.5374788045883179,0.8234999775886536,0.49200117588043213
10,0.812166690826416,0.5225120186805725,0.8309999704360962,0.48649832606315613
11,0.8161666393280029,0.5139631628990173,0.8295000195503235,0.478660523891449
12,0.8173333406448364,0.5096636414527893,0.8295000195503235,0.4780048131942749
13,0.8211666941642761,0.4985824525356293,0.828000009059906,0.47747164964675903
14,0.8190833330154419,0.5031158924102783,0.8299999833106995,0.47666385769844055
15,0.8187500238418579,0.49549412727355957,0.828499972820282,0.47582128643989563
16,0.8224999904632568,0.4999517500400543,0.828499972820282,0.4765804409980774
