token_id,token
0,
1,[UNK]
2, 
3,e
4,a
5,t
6,i
7,n
8,o
9,s
10,r
11,l
12,h
13,d
14,c
15,u
16,m
17,p
18,g
19,f
20,y
21,w
22,b
23,v
24,k
25,0
26,j
27,3
28,x
29,9
30,q
31,1
32,2
33,z
34,5
35,4
36,6
37,8
38,7
