model,seed,n_parameters,epochs_trained,restored_epoch,training_time_s,training_time_per_epoch_s,initial_ram_mb,peak_ram_mb,ram_increase_mb
word,123,189124,8,3,15.703892500023358,1.9629865625029197,1186.59765625,1216.95703125,30.359375
word,132,189124,8,3,17.082429000001866,2.1353036250002333,1215.71875,1228.17578125,12.45703125
word,213,189124,8,3,20.666626500023995,2.5833283125029993,1221.234375,1231.86328125,10.62890625
word,231,189124,8,3,24.135435300006066,3.016929412500758,1223.796875,1235.86328125,12.06640625
word,321,189124,7,2,21.54252620000625,3.0775037428580356,1227.22265625,1237.9921875,10.76953125
word,312,189124,8,3,25.80799180001486,3.2259989750018576,1230.0546875,1240.9140625,10.859375
word,111,189124,7,2,19.763491299992893,2.8233558999989845,1233.0703125,1243.421875,10.3515625
word,222,189124,8,3,21.19009129999904,2.64876141249988,1234.69921875,1245.03125,10.33203125
word,333,189124,7,2,31.952842400001828,4.564691771428833,1236.22265625,1245.98046875,9.7578125
bpe_500,123,45124,17,12,62.692886399978306,3.6878168470575474,1238.23828125,1258.7265625,20.48828125
bpe_500,132,45124,17,12,58.38359310000669,3.4343290058827467,1253.6015625,1264.36328125,10.76171875
bpe_500,213,45124,16,11,48.147512900002766,3.009219556250173,1165.0625,1176.0234375,10.9609375
bpe_500,231,45124,16,11,49.90080800000578,3.1188005000003614,1168.3671875,1179.0625,10.6953125
bpe_500,321,45124,15,10,46.12339169997722,3.074892779998481,1171.28125,1181.74609375,10.46484375
bpe_500,312,45124,17,12,58.63404159998754,3.4490612705875026,1174.8984375,1185.60546875,10.70703125
bpe_500,111,45124,18,13,54.473993799998425,3.0263329888888015,1177.7109375,1188.1328125,10.421875
bpe_500,222,45124,17,12,60.582609199977014,3.563682894116295,1180.57421875,1191.27734375,10.703125
bpe_500,333,45124,17,12,58.32766350003658,3.4310390294139164,1183.6328125,1195.03515625,11.40234375
bpe_1000,123,61124,10,5,41.62272829998983,4.162272829998983,1187.2734375,1200.91796875,13.64453125
bpe_1000,132,61124,12,7,44.65816300001461,3.7215135833345507,1193.87109375,1204.2421875,10.37109375
bpe_1000,213,61124,15,10,56.642456000030506,3.776163733335367,1196.40234375,1206.6875,10.28515625
bpe_1000,231,61124,12,7,33.764818799973,2.81373489999775,1199.5078125,1204.1171875,4.609375
bpe_1000,321,61124,16,11,45.053653999988455,2.8158533749992785,1180.08203125,1191.43359375,11.3515625
bpe_1000,312,61124,15,10,38.151546699984465,2.543436446665631,1184.140625,1194.671875,10.53125
bpe_1000,111,61124,14,9,38.61930600000778,2.758521857143413,1187.359375,1197.89453125,10.53515625
bpe_1000,222,61124,15,10,38.89593839994632,2.593062559996421,1190.5,1200.109375,9.609375
bpe_1000,333,61124,12,7,31.38367890001973,2.6153065750016444,1193.734375,1204.53125,10.796875
bpe_2000,123,93124,10,5,24.603275699948426,2.460327569994843,1197.6484375,1210.9140625,13.265625
bpe_2000,132,93124,8,3,19.71499930002028,2.464374912502535,1202.8359375,1213.01953125,10.18359375
bpe_2000,213,93124,9,4,22.535889199993107,2.503987688888123,1193.1875,1202.8359375,9.6484375
bpe_2000,231,93124,9,4,22.54882359999465,2.5054248444438496,1194.86328125,1205.234375,10.37109375
bpe_2000,321,93124,8,3,19.9578786000493,2.4947348250061623,1197.375,1207.01171875,9.63671875
bpe_2000,312,93124,10,5,25.094022100034636,2.5094022100034636,1199.0390625,1209.609375,10.5703125
bpe_2000,111,93124,8,3,20.696544600010384,2.587068075001298,1201.828125,1212.81640625,10.98828125
bpe_2000,222,93124,8,3,20.72250970004825,2.590313712506031,1204.74609375,1215.36328125,10.6171875
bpe_2000,333,93124,9,4,23.00974850001512,2.5566387222239024,1207.45703125,1216.99609375,9.5390625
bpe_5000,123,189124,8,3,18.451995000010356,2.3064993750012945,1210.82421875,1222.46484375,11.640625
bpe_5000,132,189124,7,2,16.6581664000405,2.379738057148643,1214.4296875,1225.07421875,10.64453125
bpe_5000,213,189124,8,3,19.00337099999888,2.37542137499986,1217.1640625,1228.7265625,11.5625
bpe_5000,231,189124,8,3,18.51956759998575,2.3149459499982186,1221.03515625,1231.70703125,10.671875
bpe_5000,321,189124,7,2,16.36405899998499,2.33772271428357,1224.21875,1234.9765625,10.7578125
bpe_5000,312,189124,8,3,18.620077100000344,2.327509637500043,1227.01171875,1236.66796875,9.65625
bpe_5000,111,189124,8,3,29.942133000004105,3.742766625000513,1228.671875,1238.2578125,9.5859375
bpe_5000,222,189124,8,3,28.38908839999931,3.5486360499999137,1230.3515625,1239.95703125,9.60546875
bpe_5000,333,189124,7,2,21.116978400037624,3.016711200005375,1232.25390625,1241.83984375,9.5859375
char,123,30372,16,11,78.0748234000057,4.879676462500356,1233.92578125,1286.30859375,52.3828125
char,132,30372,18,13,95.29103909997502,5.293946616665279,1277.27734375,1286.85546875,9.578125
char,213,30372,18,13,94.5057956999517,5.25032198333065,1216.30078125,1225.69921875,9.3984375
char,231,30372,17,12,101.85025960003259,5.991191741178388,1217.328125,1227.14453125,9.81640625
char,321,30372,17,12,93.71002560004126,5.51235444706125,1217.58203125,1228.28515625,10.703125
char,312,30372,18,13,105.11511740001151,5.839728744445084,1195.8203125,1206.3203125,10.5
char,111,30372,19,14,102.26469290000387,5.38235225789494,1197.95703125,1208.484375,10.52734375
char,222,30372,18,13,109.42857560003176,6.079365311112876,1200.0703125,1208.79296875,8.72265625
char,333,30372,18,13,95.78825049998704,5.321569472221502,1192.69140625,1203.359375,10.66796875
