model,seed,corruption_level,n_samples,accuracy,precision_macro,f1_macro,mcc,log_loss,inference_time_s,inference_time_per_sample_ms
bpe_500,123,30,2000,0.7865,0.7864519043394511,0.7856627098871778,0.7158286194742043,0.5618873238563538,0.2046954000252299,0.10234770001261495
bpe_500,123,35,2000,0.777,0.7771612081432899,0.7759153900512716,0.7033537098942494,0.5834779143333435,0.2106025999528356,0.1053012999764178
bpe_500,123,40,2000,0.772,0.7720612620205343,0.7709370617607387,0.6966567925221743,0.5946687459945679,0.22660240001277998,0.11330120000638999
bpe_500,123,45,2000,0.762,0.763271951187755,0.7609911419776954,0.683636523332636,0.6175958514213562,0.153979700000491,0.0769898500002455
bpe_500,123,50,2000,0.754,0.7569127556752538,0.7530591924180683,0.6733953741345496,0.6429499983787537,0.21781850000843406,0.10890925000421703
bpe_500,132,0,2000,0.8015,0.8016590197793587,0.8001553638242838,0.7362146188937541,0.5354559421539307,0.2509385999874212,0.1254692999937106
bpe_500,132,5,2000,0.802,0.8024258857412272,0.8008158960454342,0.736871251264032,0.5517688989639282,0.22712130000581965,0.11356065000290982
bpe_500,132,10,2000,0.801,0.8014936062029285,0.799869868776761,0.7355245434003364,0.5602644085884094,0.23289340001065284,0.11644670000532642
bpe_500,132,15,2000,0.796,0.7959762844173907,0.794963854472265,0.7286422168142458,0.5669854879379272,0.2531699000392109,0.12658495001960546
bpe_500,132,20,2000,0.7935,0.7943409727334884,0.792723733446389,0.725420286187964,0.5757284164428711,0.2244137999950908,0.1122068999975454
bpe_500,132,25,2000,0.7775,0.7788391715573482,0.7764309873164027,0.70442674782074,0.5871918201446533,0.22449429996777326,0.11224714998388663
bpe_500,132,30,2000,0.7715,0.7740887975598814,0.7704967308809954,0.6967473071279267,0.6046221256256104,0.2354300000006333,0.11771500000031665
bpe_500,132,35,2000,0.7625,0.7656763930868311,0.761807116603139,0.6847313843496704,0.6231540441513062,0.22311560000525787,0.11155780000262894
bpe_500,132,40,2000,0.749,0.7529108184929725,0.7486933356870562,0.6667490109070765,0.6368303894996643,0.24321560002863407,0.12160780001431704
bpe_500,132,45,2000,0.744,0.7487610363930786,0.7433236171921827,0.6605561375250405,0.6549006700515747,0.1919740000157617,0.09598700000788085
bpe_500,132,50,2000,0.7295,0.7343306380286387,0.7288811604660594,0.641204748655121,0.6735576391220093,0.24199119996046647,0.12099559998023324
bpe_500,213,0,2000,0.8105,0.8096410194932746,0.8098087441222221,0.7474918184000323,0.5235298871994019,0.26588699995772913,0.13294349997886457
bpe_500,213,5,2000,0.804,0.80367849681912,0.8034428756960275,0.7389152302962718,0.5353047847747803,0.20196709997253492,0.10098354998626746
bpe_500,213,10,2000,0.7965,0.7959933384481952,0.7957584951570537,0.728971197246139,0.5442237257957458,0.2134692000108771,0.10673460000543855
bpe_500,213,15,2000,0.7925,0.7923381713609574,0.7918223224415605,0.7237051720818516,0.5583659410476685,0.1989927999675274,0.0994963999837637
bpe_500,213,20,2000,0.79,0.7903284349617982,0.7892343844046978,0.7205735646402494,0.5718313455581665,0.17692860000533983,0.08846430000266992
bpe_500,213,25,2000,0.786,0.7863561114659411,0.7852089641718465,0.7152574749279181,0.5830921530723572,0.21034940000390634,0.10517470000195317
bpe_500,213,30,2000,0.7845,0.7851308666118018,0.7839324517758945,0.7132112925649383,0.6021446585655212,0.2890955999610014,0.1445477999805007
bpe_500,213,35,2000,0.7695,0.7711193571969605,0.7689551835398147,0.6934884751201248,0.6245211362838745,0.20320930000161752,0.10160465000080876
bpe_500,213,40,2000,0.764,0.7656262846206106,0.7629025853545729,0.6864616595047334,0.6445136666297913,0.2345857000327669,0.11729285001638345
bpe_500,213,45,2000,0.7505,0.7528416199628678,0.7490430311476932,0.6688710518142408,0.661575436592102,0.181445199996233,0.0907225999981165
bpe_500,213,50,2000,0.7365,0.7414985356059328,0.7353589045945036,0.6507866950720135,0.6881986856460571,0.18762729997979477,0.09381364998989739
bpe_500,231,0,2000,0.8105,0.8098276449294052,0.8096026976987003,0.7476788407884449,0.5204644799232483,0.22896229999605566,0.11448114999802783
bpe_500,231,5,2000,0.805,0.8042141462778687,0.8040744739857698,0.7403265560326998,0.5330666303634644,0.20930270000826567,0.10465135000413284
bpe_500,231,10,2000,0.7995,0.7989404467295715,0.7986870636040119,0.7329968339336247,0.5430099964141846,0.18929820001358166,0.09464910000679083
bpe_500,231,15,2000,0.7955,0.794575585385723,0.7945888800170251,0.72760623685116,0.5531648993492126,0.24106099997879937,0.12053049998939969
bpe_500,231,20,2000,0.7965,0.7959238431816911,0.795830891423271,0.7289021400930188,0.5610718727111816,0.17088089999742806,0.08544044999871403
bpe_500,231,25,2000,0.789,0.7883643052159538,0.7884042115043668,0.7188401676987893,0.5757251977920532,0.18677169998409227,0.09338584999204613
