model,seed,n_parameters,epochs_trained,restored_epoch,training_time_s,training_time_per_epoch_s,initial_ram_mb,peak_ram_mb,ram_increase_mb
word,123,189124,8,3,11.046848399972077,1.3808560499965097,580.94921875,643.07421875,62.125
word,231,189124,8,3,11.885566100012511,1.4856957625015639,628.7109375,655.0390625,26.328125
word,321,189124,7,2,10.903607600019313,1.5576582285741876,637.734375,659.2578125,21.5234375
char,123,30372,16,11,61.62088139995467,3.851305087497167,638.6796875,674.57421875,35.89453125
char,231,30372,17,12,67.35221080004703,3.961894752943943,669.09765625,686.80078125,17.703125
char,321,30372,17,12,65.65841819997877,3.862259894116398,662.1640625,688.3828125,26.21875
