model,seed,corruption_level,n_samples,accuracy,precision_macro,f1_macro,mcc,log_loss,inference_time_s,inference_time_per_sample_ms
word,123,0,2000,0.8505,0.8512708577394809,0.8505605398326025,0.8008765238107932,0.4481150805950165,0.1811530999839306,0.0905765499919653
word,123,5,2000,0.843,0.8443184169238505,0.8429822860536378,0.7911053243331222,0.4625481963157654,0.14248999999836087,0.07124499999918044
word,123,10,2000,0.8395,0.8405849808818366,0.8393974796142838,0.7864124504206189,0.47808003425598145,0.13087489997269586,0.06543744998634793
word,123,15,2000,0.839,0.8404683615536016,0.8387906714025217,0.7859327045792788,0.49242469668388367,0.15621590003138408,0.07810795001569204
word,123,20,2000,0.8285,0.8303330339681045,0.8282791536730241,0.7720441986112941,0.5062007308006287,0.15018319996306673,0.07509159998153336
word,123,25,2000,0.8165,0.819173531430813,0.8165076597043843,0.7561339990590553,0.5198080539703369,0.13363400002708659,0.06681700001354329
word,123,30,2000,0.811,0.8156854338057312,0.8113882173662271,0.7492179697212575,0.5372242331504822,0.11472539999522269,0.057362699997611344
word,123,35,2000,0.7985,0.8060174864748502,0.7994065095964508,0.7331754289996376,0.5670190453529358,0.12987870001234114,0.06493935000617057
word,123,40,2000,0.786,0.796096339118352,0.7874114039025338,0.7171674869688637,0.5945191383361816,0.10829159995773807,0.054145799978869036
word,123,45,2000,0.7705,0.7840798203084463,0.7721556540365149,0.6975025847513046,0.6255618333816528,0.14892979996511713,0.07446489998255856
word,123,50,2000,0.7535,0.7697494551225961,0.755441398772033,0.675590581741633,0.6564314365386963,0.13810989999910817,0.06905494999955408
word,132,0,2000,0.8485,0.8506372025211311,0.8482992126045175,0.7988506963779426,0.44433000683784485,0.1610884999972768,0.0805442499986384
word,132,5,2000,0.847,0.8506279453167677,0.8468741485659739,0.7973089268297253,0.4589114785194397,0.1342626999830827,0.06713134999154136
word,132,10,2000,0.8415,0.8452525827033288,0.8413688834221758,0.7900253619306032,0.4745248556137085,0.11188540002331138,0.05594270001165569
