model,seed,corruption_level,n_samples,accuracy,precision_macro,f1_macro,mcc,log_loss
word,123,0,2000,0.8505,0.8512708577394809,0.8505605398326025,0.8008765238107932,0.4481150805950165
word,123,5,2000,0.8515,0.8528124391149003,0.8516790619081686,0.8023143013307569,0.4518572688102722
word,123,10,2000,0.8445,0.8461877406996965,0.8446588521727307,0.7930924071962416,0.4665673077106476
word,123,15,2000,0.8345,0.8367071198593119,0.8348050175252614,0.7798414355809308,0.48920881748199463
word,123,20,2000,0.8235,0.8263362070931752,0.8237810944568953,0.7653989935794473,0.5046029090881348
word,231,0,2000,0.8595,0.8599048995586598,0.8592268605848347,0.8129743001485691,0.4327348470687866
word,231,5,2000,0.854,0.854945400825126,0.8536803852444665,0.8058457455257101,0.4379401206970215
word,231,10,2000,0.8475,0.8481192403852726,0.84709760372471,0.7971286036842726,0.45195263624191284
word,231,15,2000,0.8445,0.8454558859088941,0.8443382783603467,0.7930857910742456,0.46716979146003723
word,231,20,2000,0.827,0.8293617359323647,0.8267204283738914,0.7703045292796259,0.502358615398407
word,321,0,2000,0.8495,0.8539976189248819,0.8483056404532758,0.8014844656123634,0.4462509751319885
word,321,5,2000,0.8435,0.8487202236084457,0.8419568903677732,0.7938706292465738,0.4562084972858429
word,321,10,2000,0.8365,0.8420289275093321,0.8348901861787181,0.7847311704321182,0.475425660610199
word,321,15,2000,0.831,0.8402964598577929,0.8292207778661816,0.7785886936420545,0.4936459958553314
word,321,20,2000,0.8205,0.8309136579003806,0.8183480639786338,0.7652251717187113,0.51630699634552
char,123,0,2000,0.8055,0.8056811307867984,0.8048926742797662,0.7411146823894056,0.5449211597442627
char,123,5,2000,0.805,0.8050550874127621,0.8041788769612979,0.7405351065244363,0.5571283102035522
char,123,10,2000,0.804,0.8041640946729798,0.8033382096956648,0.7391415945309054,0.5596992373466492
char,123,15,2000,0.795,0.794947853915853,0.7942538216962605,0.7271241717012805,0.574845552444458
char,123,20,2000,0.7915,0.7914709222256611,0.790943531719737,0.7223451226333958,0.5762472152709961
char,231,0,2000,0.8135,0.8126950489543754,0.8128265308173066,0.7514974281874652,0.5334238409996033
char,231,5,2000,0.8115,0.8107029118952878,0.8109324945576812,0.7487687557665843,0.5421079397201538
char,231,10,2000,0.8015,0.8007890791733934,0.800831430227391,0.735525330503496,0.5548194050788879
char,231,15,2000,0.8025,0.8020249742375227,0.8019104277548329,0.7368865372858847,0.5614216923713684
char,231,20,2000,0.8025,0.8020728793225766,0.8020863543307051,0.7367936517154671,0.5706789493560791
char,321,0,2000,0.81,0.8095101215547801,0.8090399547649257,0.7471033516806014,0.5244491696357727
char,321,5,2000,0.8015,0.8006102133097951,0.8005005506514193,0.735669611202712,0.5316162109375
char,321,10,2000,0.805,0.8044307779268169,0.8040958386178984,0.7403794182745214,0.5410380363464355
char,321,15,2000,0.8015,0.8008430732434756,0.8005382972272691,0.7357167416596387,0.5542582273483276
char,321,20,2000,0.797,0.79647834078285,0.7961032456897578,0.7297216485697156,0.5599473714828491
