seed,corruption_level,n_samples,both_correct,word_only_correct,char_only_correct,both_wrong,accuracy_delta_word_minus_char,p_raw,p_holm,significant_holm_0.05
123,0,2000,1509,192,102,197,0.045,1.694377569355503e-07,1.4910522610328427e-05,True
123,5,2000,1501,185,109,205,0.038,1.0969840158170281e-05,0.0007788586512300899,True
123,10,2000,1477,202,117,204,0.0425,2.248318763067195e-06,0.00017536886351924118,True
123,15,2000,1474,204,116,206,0.044,9.934328889667977e-07,8.14614968952774e-05,True
123,20,2000,1457,200,132,211,0.034,0.00022528572225308797,0.012841286168426015,True
123,25,2000,1438,195,147,220,0.024,0.01093179600966607,0.37591861228284146,False
123,30,2000,1413,209,151,227,0.029,0.002614244136067824,0.11241249785091643,False
123,35,2000,1375,222,170,233,0.026,0.009908884456374029,0.3573855259812793,False
123,40,2000,1355,217,185,243,0.016,0.12196329974855201,1.0,False
123,45,2000,1314,227,206,253,0.0105,0.3364898265869236,1.0,False
123,50,2000,1284,223,226,267,-0.0015,0.9248165023735706,1.0,False
132,0,2000,1530,167,111,192,0.028,0.0009376668035214268,0.04969634058663562,True
132,5,2000,1531,163,109,197,0.027,0.0012689672518048068,0.06344836259024034,False
132,10,2000,1505,178,122,195,0.028,0.0014548792549569313,0.0698342042379327,False
132,15,2000,1493,170,131,206,0.0195,0.028336368217652386,0.8217546783119192,False
132,20,2000,1461,176,149,214,0.0135,0.1491276929527598,1.0,False
132,25,2000,1429,183,170,218,0.0065,0.5230794984048376,1.0,False
132,30,2000,1414,179,184,223,-0.0025,0.8337462766207352,1.0,False
132,35,2000,1376,189,206,229,-0.0085,0.4208271883565343,1.0,False
132,40,2000,1347,195,222,236,-0.0135,0.20288217235114445,1.0,False
132,45,2000,1307,197,252,244,-0.0275,0.010740531779509756,0.37591861228284146,False
132,50,2000,1268,207,275,250,-0.034,0.00224174375766931,0.09863672533744965,False
213,0,2000,1506,194,99,201,0.0475,3.0443727841553584e-08,2.8008229614229296e-06,True
213,5,2000,1499,196,96,209,0.05,4.922963855251214e-09,4.726045301041166e-07,True
213,10,2000,1490,195,104,211,0.0455,1.571486346585066e-07,1.3986228484607087e-05,True
213,15,2000,1477,191,115,217,0.038,1.645776357281415e-05,0.0011355856865241764,True
213,20,2000,1455,190,131,224,0.0295,0.001173246448052988,0.06089376480299858,False
213,25,2000,1441,193,136,230,0.0285,0.001973964970892148,0.08882842369014665,False
213,30,2000,1414,210,149,227,0.0305,0.0015067414599723972,0.07081684861870267,False
213,35,2000,1400,206,157,237,0.0245,0.011653796106786662,0.38457527152395987,False
213,40,2000,1380,211,162,247,0.0245,0.01283783125597039,0.4041453597122459,False
213,45,2000,1345,205,185,265,0.01,0.33600620105966805,1.0,False
213,50,2000,1301,221,216,262,0.0025,0.8482821964113771,1.0,False
231,0,2000,1534,185,93,188,0.046,3.6532329514411144e-08,3.324441985811414e-06,True
231,5,2000,1525,187,93,195,0.047,2.030978107980399e-08,1.9091194215015753e-06,True
231,10,2000,1501,191,108,200,0.0415,1.8296279631204935e-06,0.0001463702370496395,True
231,15,2000,1491,194,113,202,0.0405,4.409921792141404e-06,0.0003351540562027467,True
231,20,2000,1475,196,122,207,0.037,3.941686653421644e-05,0.0025226794581898523,True
231,25,2000,1457,203,133,207,0.035,0.00015889153348173335,0.009374600475422268,True
231,30,2000,1438,203,144,215,0.0295,0.0018074673232180685,0.08314349686803116,False
231,35,2000,1415,206,153,226,0.0265,0.005984178317860165,0.23338295439654644,False
231,40,2000,1382,212,178,228,0.017,0.09459127467091755,1.0,False
231,45,2000,1365,203,197,235,0.003,0.8026252540927463,1.0,False
231,50,2000,1323,211,212,254,-0.0005,0.9999999999999996,1.0,False
321,0,2000,1522,177,98,203,0.0395,2.1948993780205135e-06,0.00017339705086362057,True
321,5,2000,1508,179,101,212,0.039,3.655849349637852e-06,0.00028150039992211464,True
321,10,2000,1492,181,116,211,0.0325,0.000193608666176545,0.01122930263823961,True
321,15,2000,1487,180,114,219,0.033,0.00014151604569169162,0.008490962741501497,True
321,20,2000,1469,182,121,228,0.0305,0.0005454686906835822,0.03000077798759702,True
321,25,2000,1443,193,138,226,0.0275,0.0029394515441761803,0.12345696485539957,False
321,30,2000,1424,197,148,231,0.0245,0.009659068269764306,0.3573855259812793,False
321,35,2000,1402,194,167,237,0.0135,0.17109427290901455,1.0,False
321,40,2000,1370,192,191,247,0.0005,1.0,1.0,False
321,45,2000,1330,205,208,257,-0.0015,0.9216195718037081,1.0,False
321,50,2000,1288,212,245,255,-0.0165,0.13433200931410336,1.0,False
312,0,2000,1521,178,86,215,0.046,1.542187249287093e-08,1.4650778868227381e-06,True
312,5,2000,1514,180,83,223,0.0485,2.140580847332036e-09,2.076363421912075e-07,True
312,10,2000,1484,187,102,227,0.0425,6.504494709959062e-07,5.463775556365612e-05,True
312,15,2000,1474,181,122,223,0.0295,0.0008335873415050338,0.04501371644127183,True
312,20,2000,1446,195,129,230,0.033,0.0002918157236556215,0.016341680524714804,True
312,25,2000,1438,196,136,230,0.03,0.0011710339385192035,0.06089376480299858,False
312,30,2000,1425,199,139,237,0.03,0.0012971228818516101,0.0635590212107289,False
312,35,2000,1400,202,154,244,0.024,0.012629542491007685,0.4041453597122459,False
312,40,2000,1379,208,172,241,0.018,0.07244057478621146,1.0,False
312,45,2000,1341,223,192,244,0.0155,0.14075440804596806,1.0,False
312,50,2000,1308,222,216,254,0.003,0.8112093105223956,1.0,False
111,0,2000,1523,173,92,212,0.0405,7.369126216543276e-07,6.116374759730918e-05,True
111,5,2000,1517,175,95,213,0.04,1.287561145157497e-06,0.00010429245275775725,True
111,10,2000,1507,179,105,209,0.037,1.3313390934416427e-05,0.0009319373654091499,True
111,15,2000,1496,186,107,211,0.0395,4.581233379137461e-06,0.0003435925034353096,True
111,20,2000,1489,188,101,222,0.0435,3.470918986591353e-07,2.9849903284685634e-05,True
111,25,2000,1473,194,118,215,0.038,1.9921720942014537e-05,0.0013546770240569885,True
111,30,2000,1444,207,125,224,0.041,7.937902415562536e-06,0.0005715289739205026,True
111,35,2000,1421,216,136,227,0.04,2.360892359124789e-05,0.0015817978806136085,True
111,40,2000,1401,210,153,236,0.0285,0.0032354375042357706,0.12941750016943082,False
111,45,2000,1377,215,166,242,0.0245,0.013822484109252317,0.4146745232775695,False
111,50,2000,1348,213,185,254,0.014,0.17585671306090922,1.0,False
222,0,2000,1515,197,90,198,0.0535,2.4522047653173837e-10,2.4276827176642098e-08,True
222,5,2000,1497,200,95,208,0.0525,9.413974720985512e-10,9.225695226565802e-08,True
222,10,2000,1494,191,101,214,0.045,1.5331415434768375e-07,1.3798273891291538e-05,True
222,15,2000,1471,193,114,222,0.0395,7.641762764595874e-06,0.0005578486818154988,True
222,20,2000,1444,204,122,230,0.041,6.52528020855101e-06,0.0004828707354327748,True
222,25,2000,1429,207,131,233,0.038,4.212920210542887e-05,0.002654139732642019,True
222,30,2000,1407,215,142,236,0.0365,0.00013191744972530632,0.008046964433243686,True
222,35,2000,1379,216,163,242,0.0265,0.007479901964714642,0.2842362746591564,False
222,40,2000,1342,216,195,247,0.0105,0.32387739080244127,1.0,False
222,45,2000,1300,212,225,263,-0.0065,0.5659921038548632,1.0,False
222,50,2000,1266,209,251,274,-0.021,0.05580491995442228,1.0,False
333,0,2000,1536,167,99,198,0.034,3.644251430279622e-05,0.0023687634296817544,True
333,5,2000,1521,171,101,207,0.035,2.606187397635431e-05,0.0017200836824393846,True
333,10,2000,1500,188,100,212,0.044,2.400245201873364e-07,2.0882133256298266e-05,True
333,15,2000,1496,195,99,210,0.048,2.2836945725002502e-08,2.123835952425233e-06,True
333,20,2000,1477,202,113,208,0.0445,6.035358601716874e-07,5.130054811459343e-05,True
333,25,2000,1463,198,128,211,0.035,0.00012553065732449282,0.007782900754118555,True
333,30,2000,1455,193,138,214,0.0275,0.0029394515441761803,0.12345696485539957,False
333,35,2000,1427,195,156,222,0.0195,0.04237742770163893,1.0,False
333,40,2000,1410,197,162,231,0.0175,0.07259351184180632,1.0,False
333,45,2000,1385,198,178,239,0.01,0.3271647298765607,1.0,False
333,50,2000,1331,214,206,249,0.004,0.73272349565976,1.0,False
