seed,corruption_level,model_a,model_b,n_samples,both_correct,model_a_only_correct,model_b_only_correct,both_wrong,accuracy_delta_a_minus_b,p_raw,p_holm,significant_holm_0.05
123,15,bpe_1000,char,2000,1453,155,137,255,0.009,0.3198113824661028,1.0,False
123,15,bpe_2000,bpe_5000,2000,1519,94,129,258,-0.0175,0.022584267057569128,1.0,False
123,15,bpe_2000,char,2000,1441,172,149,238,0.0115,0.21941649922215314,1.0,False
123,15,bpe_5000,char,2000,1459,189,131,221,0.029,0.001402775454562403,1.0,False
123,20,word,bpe_500,2000,1480,177,132,211,0.0225,0.01218807913318276,1.0,False
123,20,word,bpe_1000,2000,1473,184,120,223,0.032,0.0002884837402256218,0.34069929720645936,False
123,20,word,bpe_2000,2000,1482,175,124,219,0.0255,0.0037607025648533025,1.0,False
123,20,word,bpe_5000,2000,1513,144,124,219,0.01,0.24575030146283064,1.0,False
123,20,word,char,2000,1457,200,132,211,0.034,0.00022528572225308797,0.2696670095369463,False
123,20,bpe_500,bpe_1000,2000,1470,142,123,265,0.0095,0.26881003028309086,1.0,False
123,20,bpe_500,bpe_2000,2000,1457,155,149,239,0.003,0.7743442203515091,1.0,False
123,20,bpe_500,bpe_5000,2000,1477,135,160,228,-0.0125,0.16220037364702597,1.0,False
123,20,bpe_500,char,2000,1456,156,133,255,0.0115,0.19553820736589353,1.0,False
123,20,bpe_1000,bpe_2000,2000,1474,119,132,275,-0.0065,0.44885539360960197,1.0,False
123,20,bpe_1000,bpe_5000,2000,1475,118,162,245,-0.022,0.010051222979863229,1.0,False
123,20,bpe_1000,char,2000,1441,152,148,259,0.002,0.8625270926954672,1.0,False
123,20,bpe_2000,bpe_5000,2000,1511,95,126,268,-0.0155,0.04334516199524931,1.0,False
123,20,bpe_2000,char,2000,1432,174,157,237,0.0085,0.37919070006212147,1.0,False
123,20,bpe_5000,char,2000,1451,186,138,225,0.024,0.008921521386944213,1.0,False
123,25,word,bpe_500,2000,1442,191,153,214,0.019,0.04589573688854651,1.0,False
123,25,word,bpe_1000,2000,1440,193,127,240,0.033,0.00026704605449539746,0.3167166206315414,False
123,25,word,bpe_2000,2000,1451,182,132,235,0.025,0.005603055012178766,1.0,False
123,25,word,bpe_5000,2000,1483,150,137,230,0.0065,0.4787999029787589,1.0,False
123,25,word,char,2000,1438,195,147,220,0.024,0.01093179600966607,1.0,False
123,25,bpe_500,bpe_1000,2000,1442,153,125,280,0.014,0.10520207303556489,1.0,False
123,25,bpe_500,bpe_2000,2000,1430,165,153,252,0.006,0.5374006348966013,1.0,False
123,25,bpe_500,bpe_5000,2000,1445,150,175,230,-0.0125,0.18301029176100117,1.0,False
123,25,bpe_500,char,2000,1432,163,153,252,0.005,0.6127235221729057,1.0,False
123,25,bpe_1000,bpe_2000,2000,1440,127,143,290,-0.008,0.3613358826694234,1.0,False
123,25,bpe_1000,bpe_5000,2000,1444,123,176,257,-0.0265,0.0025778318381482314,1.0,False
123,25,bpe_1000,char,2000,1412,155,173,260,-0.009,0.3479163117884294,1.0,False
123,25,bpe_2000,bpe_5000,2000,1483,100,137,280,-0.0185,0.019172831165334563,1.0,False
123,25,bpe_2000,char,2000,1409,174,176,241,-0.001,0.9573817287309022,1.0,False
123,25,bpe_5000,char,2000,1434,186,151,229,0.0175,0.06385172657857457,1.0,False
123,30,word,bpe_500,2000,1422,200,151,227,0.0245,0.010304005725767642,1.0,False
123,30,word,bpe_1000,2000,1411,211,135,243,0.038,5.185638777588911e-05,0.06585761247537918,False
123,30,word,bpe_2000,2000,1417,205,140,238,0.0325,0.0005506872587615027,0.6288848495056361,False
123,30,word,bpe_5000,2000,1446,176,145,233,0.0155,0.09389072482222756,1.0,False
123,30,word,char,2000,1413,209,151,227,0.029,0.002614244136067824,1.0,False
123,30,bpe_500,bpe_1000,2000,1411,162,135,292,0.0135,0.13124434589899295,1.0,False
123,30,bpe_500,bpe_2000,2000,1386,187,171,256,0.008,0.42794951903005324,1.0,False
123,30,bpe_500,bpe_5000,2000,1403,170,188,239,-0.009,0.3689527238500436,1.0,False
123,30,bpe_500,char,2000,1407,166,157,270,0.0045,0.6562913522122094,1.0,False
123,30,bpe_1000,bpe_2000,2000,1402,144,155,299,-0.0055,0.5631244612737022,1.0,False
123,30,bpe_1000,bpe_5000,2000,1405,141,186,268,-0.0225,0.014839385120164162,1.0,False
123,30,bpe_1000,char,2000,1380,166,184,270,-0.009,0.36353508166407006,1.0,False
123,30,bpe_2000,bpe_5000,2000,1446,111,145,298,-0.017,0.03895183416231431,1.0,False
123,30,bpe_2000,char,2000,1376,181,188,255,-0.0035,0.7548250097032486,1.0,False
123,30,bpe_5000,char,2000,1402,189,162,247,0.0135,0.16511210963963457,1.0,False
123,35,word,bpe_500,2000,1391,206,163,240,0.0215,0.028647249418295304,1.0,False
123,35,word,bpe_1000,2000,1368,229,143,260,0.043,9.618170092831462e-06,0.01289796609448699,True
123,35,word,bpe_2000,2000,1368,229,148,255,0.0405,3.549518264394998e-05,0.04561130969747572,True
123,35,word,bpe_5000,2000,1419,178,158,245,0.01,0.2999441623407962,1.0,False
123,35,word,char,2000,1375,222,170,233,0.026,0.009908884456374029,1.0,False
123,35,bpe_500,bpe_1000,2000,1374,180,137,309,0.0215,0.018186343429689184,1.0,False
123,35,bpe_500,bpe_2000,2000,1350,204,166,280,0.019,0.05426549877583409,1.0,False
123,35,bpe_500,bpe_5000,2000,1380,174,197,249,-0.0115,0.25334577337319875,1.0,False
123,35,bpe_500,char,2000,1382,172,163,283,0.0045,0.6621126075296985,1.0,False
123,35,bpe_1000,bpe_2000,2000,1350,161,166,323,-0.0025,0.8249782515169685,1.0,False
123,35,bpe_1000,bpe_5000,2000,1378,133,199,290,-0.033,0.00034625262202845117,0.404423062529231,False
123,35,bpe_1000,char,2000,1341,170,204,285,-0.017,0.08780027076718414,1.0,False
123,35,bpe_2000,bpe_5000,2000,1411,105,166,318,-0.0305,0.0002534414231360158,0.3010884106855867,False
123,35,bpe_2000,char,2000,1330,186,215,269,-0.0145,0.16195384008157632,1.0,False
123,35,bpe_5000,char,2000,1368,209,177,246,0.016,0.1144815337116159,1.0,False
123,40,word,bpe_500,2000,1362,210,182,246,0.014,0.1725818226720512,1.0,False
123,40,word,bpe_1000,2000,1320,252,156,272,0.048,2.313665698088889e-06,0.0032067406575512006,True
123,40,word,bpe_2000,2000,1334,238,160,268,0.039,0.00010836917739843712,0.13361919573227296,False
123,40,word,bpe_5000,2000,1370,202,165,263,0.0185,0.06007164265361565,1.0,False
123,40,word,char,2000,1355,217,185,243,0.016,0.12196329974855201,1.0,False
123,40,bpe_500,bpe_1000,2000,1330,214,146,310,0.034,0.00039906096501652943,0.46171353652412456,False
123,40,bpe_500,bpe_2000,2000,1318,226,176,280,0.025,0.014427892590935996,1.0,False
123,40,bpe_500,bpe_5000,2000,1344,200,191,265,0.0045,0.6858414338682799,1.0,False
123,40,bpe_500,char,2000,1364,180,176,280,0.002,0.8736978242941796,1.0,False
123,40,bpe_1000,bpe_2000,2000,1301,175,193,331,-0.009,0.3755407854902256,1.0,False
123,40,bpe_1000,bpe_5000,2000,1324,152,211,313,-0.0295,0.002288100543271635,1.0,False
123,40,bpe_1000,char,2000,1298,178,242,282,-0.032,0.00207500960675755,1.0,False
123,40,bpe_2000,bpe_5000,2000,1366,128,169,337,-0.0205,0.02013033908072309,1.0,False
123,40,bpe_2000,char,2000,1300,194,240,266,-0.023,0.030649433058375662,1.0,False
123,40,bpe_5000,char,2000,1334,201,206,259,-0.0025,0.8428623817955455,1.0,False
123,45,word,bpe_500,2000,1323,218,201,258,0.0085,0.43445548301173104,1.0,False
123,45,word,bpe_1000,2000,1275,266,184,275,0.041,0.00012913990523423952,0.15806724400670918,False
123,45,word,bpe_2000,2000,1264,277,182,277,0.0475,1.0710573644175717e-05,0.014320036962262934,True
123,45,word,bpe_5000,2000,1336,205,185,274,0.01,0.33600620105966805,1.0,False
123,45,word,char,2000,1314,227,206,253,0.0105,0.3364898265869236,1.0,False
123,45,bpe_500,bpe_1000,2000,1311,213,148,328,0.0325,0.000733988946401853,0.8228016089164772,False
123,45,bpe_500,bpe_2000,2000,1279,245,167,309,0.039,0.00014242186051643133,0.17332740424849694,False
123,45,bpe_500,bpe_5000,2000,1327,197,194,282,0.0015,0.9194528737335979,1.0,False
123,45,bpe_500,char,2000,1333,191,187,289,0.002,0.8773968397363092,1.0,False
123,45,bpe_1000,bpe_2000,2000,1262,197,184,357,0.0065,0.5387565169247869,1.0,False
123,45,bpe_1000,bpe_5000,2000,1298,161,223,318,-0.031,0.0018157863308481093,1.0,False
123,45,bpe_1000,char,2000,1277,182,243,298,-0.0305,0.00356006643840309,1.0,False
123,45,bpe_2000,bpe_5000,2000,1326,120,195,359,-0.0375,2.815844936419064e-05,0.03654966727471945,True
123,45,bpe_2000,char,2000,1253,193,267,287,-0.037,0.0006490839520927602,0.7341139498169117,False
123,45,bpe_5000,char,2000,1312,209,208,271,0.0005,1.0,1.0,False
123,50,word,bpe_500,2000,1281,226,227,266,-0.0005,1.0,1.0,False
123,50,word,bpe_1000,2000,1242,265,196,297,0.0345,0.0015124389216820224,1.0,False
123,50,word,bpe_2000,2000,1221,286,197,296,0.0445,5.9533893761421766e-05,0.07519130782067569,False
123,50,word,bpe_5000,2000,1288,219,198,295,0.0105,0.3273845431378742,1.0,False
123,50,word,char,2000,1284,223,226,267,-0.0015,0.9248165023735706,1.0,False
123,50,bpe_500,bpe_1000,2000,1285,223,153,339,0.035,0.0003601092504743097,0.4195272768025708,False
123,50,bpe_500,bpe_2000,2000,1249,259,169,323,0.045,1.5825329004809218e-05,0.020921084944357786,True
123,50,bpe_500,bpe_5000,2000,1286,222,200,292,0.011,0.3066519535486149,1.0,False
123,50,bpe_500,char,2000,1314,194,196,296,-0.001,0.9596234354265613,1.0,False
123,50,bpe_1000,bpe_2000,2000,1236,202,182,380,0.01,0.3322577019632002,1.0,False
123,50,bpe_1000,bpe_5000,2000,1262,176,224,338,-0.024,0.01866152031735991,1.0,False
123,50,bpe_1000,char,2000,1255,183,255,307,-0.036,0.0006754396195823762,0.761220451269338,False
123,50,bpe_2000,bpe_5000,2000,1291,127,195,387,-0.034,0.00017934175008584927,0.21718285935396348,False
123,50,bpe_2000,char,2000,1223,195,287,295,-0.046,3.229006301463335e-05,0.04168647135189166,True
123,50,bpe_5000,char,2000,1272,214,238,276,-0.012,0.27931365557737364,1.0,False
132,0,word,bpe_500,2000,1508,189,95,208,0.047,2.574070542172085e-08,3.742698568318212e-05,True
132,0,word,bpe_1000,2000,1527,170,103,200,0.0335,5.991781318396959e-05,0.07549644461180169,False
132,0,word,bpe_2000,2000,1560,137,96,207,0.0205,0.008638406577337597,1.0,False
132,0,word,bpe_5000,2000,1583,114,95,208,0.0095,0.2130005576350852,1.0,False
132,0,word,char,2000,1530,167,111,192,0.028,0.0009376668035214268,1.0,False
132,0,bpe_500,bpe_1000,2000,1502,101,128,269,-0.0135,0.08555038113722856,1.0,False
132,0,bpe_500,bpe_2000,2000,1507,96,149,248,-0.0265,0.0008570317040875533,0.9538762866494468,False
132,0,bpe_500,bpe_5000,2000,1509,94,169,228,-0.0375,4.3786687222700815e-06,0.005990018812065472,True
132,0,bpe_500,char,2000,1504,99,137,260,-0.019,0.015838688881620832,1.0,False
132,0,bpe_1000,bpe_2000,2000,1534,96,122,248,-0.013,0.09018463240010802,1.0,False
132,0,bpe_1000,bpe_5000,2000,1535,95,143,227,-0.024,0.0022467345076008843,1.0,False
132,0,bpe_1000,char,2000,1510,120,131,239,-0.0055,0.5279966429637912,1.0,False
132,0,bpe_2000,bpe_5000,2000,1576,80,102,242,-0.011,0.11931902228044106,1.0,False
132,0,bpe_2000,char,2000,1516,140,125,219,0.0075,0.3898213933200047,1.0,False
132,0,bpe_5000,char,2000,1529,149,112,210,0.0185,0.025669035799105448,1.0,False
132,5,word,bpe_500,2000,1507,187,97,209,0.045,1.0128323524045142e-07,0.00014584785874625006,True
132,5,word,bpe_1000,2000,1516,178,94,212,0.042,3.947992726694339e-07,0.0005602201679179267,True
132,5,word,bpe_2000,2000,1566,128,94,212,0.017,0.026549053936932954,1.0,False
132,5,word,bpe_5000,2000,1585,109,89,217,0.01,0.17677965404809923,1.0,False
132,5,word,char,2000,1531,163,109,197,0.027,0.0012689672518048068,1.0,False
132,5,bpe_500,bpe_1000,2000,1488,116,122,274,-0.003,0.7459383273676189,1.0,False
